Event	ID	Name			Wwise Object Path	Notes
	1730208058	Player_Footsteps			\Default Work Unit\Player\Player_Footsteps	
	1876417386	Player_Footsteps_Land			\Default Work Unit\Player\Player_Footsteps_Land	
	2101861506	Player_Flashlight_Switch			\Default Work Unit\Player\Player_Flashlight_Switch	
	3083087645	Player_Death			\Default Work Unit\Player\Player_Death	
	3239612480	Player_Lighthouse_Teleport_Door			\Default Work Unit\Player\Player_Lighthouse_Teleport_Door	
	3318329073	Player_Lighthouse_Teleport_TrapDoor			\Default Work Unit\Player\Player_Lighthouse_Teleport_TrapDoor	
	3767185060	Player_Flashlight_Died			\Default Work Unit\Player\Player_Flashlight_Died	

Switch Group	ID	Name			Wwise Object Path	Notes
	1834394558	Surface			\Default Work Unit\Surface	

Switch	ID	Name	Switch Group			Notes
	803837735	Sand	Surface			
	1216965916	Stone	Surface			
	2058049674	Wood	Surface			
	2195636714	Dirt	Surface			
	2449969375	Glass	Surface			
	3728443364	Catwalk	Surface			
	4248645337	Grass	Surface			

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	22401148	Player_FS_CatWalk-004	D:\_Obecne Projekty\PirateSoftJam\UE Project\Project-GrapeMango\Wwise\.cache\Windows\SFX\Player_FS_CatWalk-004_73361BA5.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Footsteps\Player_FS_Metal\Player_FS_CatWalk-004		6121
	55098737	Player_FS_CatWalk-003	D:\_Obecne Projekty\PirateSoftJam\UE Project\Project-GrapeMango\Wwise\.cache\Windows\SFX\Player_FS_CatWalk-003_73361BA5.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Footsteps\Player_FS_Metal\Player_FS_CatWalk-003		5959
	75552237	Electricity, Sparks, Small Ticking Sparks, Faulty Wire SND1815 - Pitch 58	D:\_Obecne Projekty\PirateSoftJam\UE Project\Project-GrapeMango\Wwise\.cache\Windows\SFX\Electricity, Sparks, Small Ticking Sparks, Faulty Wire SND1815 - Pitch 58_D58366B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Flashlight_Died\Electricity, Sparks, Small Ticking Sparks, Faulty Wire SND1815 - Pitch 58		9595
	76431582	Player_FS_Dirt-003	D:\_Obecne Projekty\PirateSoftJam\UE Project\Project-GrapeMango\Wwise\.cache\Windows\SFX\Player_FS_Dirt-003_73361BA5.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Footsteps\Player_FS_Dirt\Player_FS_Dirt-003		4877
	77804803	Player_FS_Stone-006	D:\_Obecne Projekty\PirateSoftJam\UE Project\Project-GrapeMango\Wwise\.cache\Windows\SFX\Player_FS_Stone\Player_FS_Stone-006_73361BA5.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Footsteps\Player_FS_Stone\Player_FS_Stone-006		4075
	95334652	Player_FS_CatWalk-005	D:\_Obecne Projekty\PirateSoftJam\UE Project\Project-GrapeMango\Wwise\.cache\Windows\SFX\Player_FS_CatWalk-005_73361BA5.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Footsteps\Player_FS_Metal\Player_FS_CatWalk-005		6040
	145747875	Electricity, Sparks, Small Ticking Sparks, Faulty Wire SND1815 - Pitch 58 2	D:\_Obecne Projekty\PirateSoftJam\UE Project\Project-GrapeMango\Wwise\.cache\Windows\SFX\Electricity, Sparks, Small Ticking Sparks, Faulty Wire SND1815 - Pitch 58 2_33B04E93.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Flashlight_Died\Electricity, Sparks, Small Ticking Sparks, Faulty Wire SND1815 - Pitch 58 2		8394
	164524416	Player_FS_CatWalk-008	D:\_Obecne Projekty\PirateSoftJam\UE Project\Project-GrapeMango\Wwise\.cache\Windows\SFX\Player_FS_CatWalk-008_73361BA5.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Footsteps\Player_FS_Metal\Player_FS_CatWalk-008		6054
	324292905	Player_FS_CatWalk-002	D:\_Obecne Projekty\PirateSoftJam\UE Project\Project-GrapeMango\Wwise\.cache\Windows\SFX\Player_FS_CatWalk-002_73361BA5.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Footsteps\Player_FS_Metal\Player_FS_CatWalk-002		6007
	448818932	Player_FS_Stone-002	D:\_Obecne Projekty\PirateSoftJam\UE Project\Project-GrapeMango\Wwise\.cache\Windows\SFX\Player_FS_Stone\Player_FS_Stone-002_73361BA5.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Footsteps\Player_FS_Stone\Player_FS_Stone-002		3575
